symbol,date,close,volume,deliv_qty,deliv_pct
20MICRONS,2026-02-05,168.34,101428,63472,62.58
20MICRONS,2026-02-06,171.02,134059,59218,44.17
20MICRONS,2026-02-09,183.87,284350,127205,44.74
20MICRONS,2026-02-10,181.73,56973,30832,54.12
20MICRONS,2026-02-11,188.07,555072,114124,20.56
20MICRONS,2026-02-12,187.23,221335,88540,40.0
20MICRONS,2026-02-13,181.07,76537,33188,43.36
20MICRONS,2026-02-16,183.06,62560,25881,41.37
20MICRONS,2026-02-18,181.95,62050,23337,37.61
20MICRONS,2026-02-19,180.86,90929,29873,32.85
20MICRONS,2026-02-23,178.86,61886,33003,53.33
20MICRONS,2026-02-24,175.7,100039,57559,57.54
360ONE,2026-02-05,1140.8,879272,579136,65.87
360ONE,2026-02-06,1113.9,561036,305086,54.38
360ONE,2026-02-09,1138.3,357498,181171,50.68
360ONE,2026-02-10,1162.4,1057832,371129,35.08
360ONE,2026-02-11,1138.4,766800,336556,43.89
360ONE,2026-02-12,1144.4,568928,280246,49.26
360ONE,2026-02-13,1126.8,471438,271579,57.61
360ONE,2026-02-16,1119.6,761308,322204,42.32
360ONE,2026-02-17,1124.6,884322,97188,10.99
360ONE,2026-02-18,1127.2,311999,97865,31.37
360ONE,2026-02-19,1104.5,648460,325715,50.23
360ONE,2026-02-20,1100.6,405322,159483,39.35
360ONE,2026-02-23,1126.9,793296,458925,57.85
360ONE,2026-02-24,1113.4,432011,212826,49.26
360ONE,2026-02-25,1131.8,682336,404683,59.31
360ONE,2026-02-26,1128.3,628620,347988,55.36
3MINDIA,2026-02-05,35450.0,3135,1399,44.63
3MINDIA,2026-02-06,35190.0,4542,3430,75.52
3MINDIA,2026-02-09,36485.0,7114,3605,50.67
3MINDIA,2026-02-10,37635.0,11004,4644,42.2
3MINDIA,2026-02-11,37580.0,4096,1767,43.14
3MINDIA,2026-02-12,37515.0,21762,10857,49.89
3MINDIA,2026-02-13,35115.0,9115,4415,48.44
3MINDIA,2026-02-16,36095.0,6516,1935,29.7
3MINDIA,2026-02-17,36030.0,3357,1657,49.36
3MINDIA,2026-02-18,36915.0,4495,2381,52.97
3MINDIA,2026-02-19,36895.0,3550,1314,37.01
3MINDIA,2026-02-20,36145.0,2214,872,39.39
3MINDIA,2026-02-23,36115.0,2540,1480,58.27
3MINDIA,2026-02-24,35875.0,1902,1045,54.94
3MINDIA,2026-02-25,36440.0,3213,1560,48.55
3MINDIA,2026-02-26,36455.0,1681,660,39.26
5PAISA,2026-02-05,333.9,53843,26530,49.27
5PAISA,2026-02-09,340.8,45424,23632,52.03
5PAISA,2026-02-10,339.1,31824,14185,44.57
5PAISA,2026-02-11,333.25,37447,17057,45.55
5PAISA,2026-02-12,331.2,33422,17025,50.94
5PAISA,2026-02-13,323.45,34876,16437,47.13
5PAISA,2026-02-16,327.4,72649,18195,25.05
