symbol,streak,last_date
360ONE,2,2026-05-19
ADANIGREEN,1,2026-05-19
AIAENG,1,2026-05-19
AJAXENGG,1,2026-05-19
ANGELONE,1,2026-05-19
APOLLO,1,2026-05-19
APOLLOHOSP,1,2026-05-19
APOLLOPIPE,1,2026-05-19
ARTEMISMED,1,2026-05-19
ASHIANA,2,2026-05-19
ASIANENE,1,2026-05-19
ASIANPAINT,2,2026-05-19
AUROPHARMA,2,2026-05-19
AUTOIND,1,2026-05-19
AVL,1,2026-05-19
AXISGOLD,2,2026-05-19
BASF,1,2026-05-19
BLSE,1,2026-05-19
BLUSPRING,2,2026-05-19
BSE,1,2026-05-19
BUILDPRO,1,2026-05-19
CARERATING,1,2026-05-19
CENTENKA,1,2026-05-19
CGCL,1,2026-05-19
CHALET,1,2026-05-19
CIPLA,2,2026-05-19
COFORGE,1,2026-05-19
CONFIPET,1,2026-05-19
CORONA,2,2026-05-19
COSMOFIRST,1,2026-05-19
CROMPTON,1,2026-05-19
CYIENTDLM,1,2026-05-19
DECNGOLD,1,2026-05-19
DEEPAKFERT,1,2026-05-19
DEVYANI,1,2026-05-19
DHANUKA,1,2026-05-19
DIFFNKG,2,2026-05-19
DIVISLAB,1,2026-05-19
DREDGECORP,1,2026-05-19
DRREDDY,2,2026-05-19
DSSL,1,2026-05-19
ELPROINTL,2,2026-05-19
EMCURE,1,2026-05-19
ENDURANCE,1,2026-05-19
ENTERO,1,2026-05-19
EUROPRATIK,1,2026-05-19
EXPLEOSOL,1,2026-05-19
GAEL,1,2026-05-19
GANDHAR,2,2026-05-19
GEOJITFSL,1,2026-05-19
GESHIP,2,2026-05-19
GLAND,2,2026-05-19
GLENMARK,1,2026-05-19
GNFC,2,2026-05-19
GOLDADD,2,2026-05-19
GOLDBEES,1,2026-05-19
GOLDETF,2,2026-05-19
GPTHEALTH,1,2026-05-19
GPTINFRA,1,2026-05-19
GSFC,1,2026-05-19
HEXT,1,2026-05-19
HIRECT,1,2026-05-19
HYUNDAI,1,2026-05-19
ICIL,1,2026-05-19
IKS,1,2026-05-19
INFY,1,2026-05-19
INSECTICID,1,2026-05-19
IOLCP,1,2026-05-19
ITBEES,1,2026-05-19
ITIETF,1,2026-05-19
JARO,1,2026-05-19
JBCHEPHARM,1,2026-05-19
JINDRILL,2,2026-05-19
JKPAPER,1,2026-05-19
JLHL,1,2026-05-19
JUBLPHARMA,1,2026-05-19
KANSAINER,1,2026-05-19
KOPRAN,2,2026-05-19
KPIL,1,2026-05-19
KPL,1,2026-05-19
LATENTVIEW,1,2026-05-19
LAURUSLABS,1,2026-05-19
LIQUID1,1,2026-05-19
MANALIPETC,1,2026-05-19
MANINDS,1,2026-05-19
MARICO,2,2026-05-19
MARKOLINES,1,2026-05-19
MAXHEALTH,1,2026-05-19
MEDPLUS,1,2026-05-19
MEGASTAR,1,2026-05-19
MIDWESTLTD,2,2026-05-19
MODISONLTD,2,2026-05-19
MOLDTKPAC,2,2026-05-19
MON100,2,2026-05-19
MONTECARLO,1,2026-05-19
MOREALTY,1,2026-05-19
MOSILVER,1,2026-05-19
MOTHERSON,1,2026-05-19
MPSLTD,1,2026-05-19
NAM-INDIA,1,2026-05-19
NIBE,1,2026-05-19
NITINSPIN,1,2026-05-19
OMPOWER,1,2026-05-19
ONESOURCE,1,2026-05-19
ORIENTBELL,1,2026-05-19
PANACEABIO,2,2026-05-19
PANAMAPET,1,2026-05-19
PATANJALI,1,2026-05-19
PGIL,1,2026-05-19
PIDILITIND,1,2026-05-19
PNBHOUSING,1,2026-05-19
POCL,1,2026-05-19
POLICYBZR,2,2026-05-19
PRINCEPIPE,1,2026-05-19
PURVA,1,2026-05-19
QGOLDHALF,2,2026-05-19
RADICO,2,2026-05-19
RATNAVEER,1,2026-05-19
RAYMOND,2,2026-05-19
RISHABH,1,2026-05-19
SAKSOFT,1,2026-05-19
SANSTAR,2,2026-05-19
SATIN,1,2026-05-19
SBILIFE,1,2026-05-19
SBILIQETF,1,2026-05-19
SEAMECLTD,1,2026-05-19
SEDEMAC,1,2026-05-19
SGMART,1,2026-05-19
SHADOWFAX,2,2026-05-19
SHALBY,1,2026-05-19
SHREEJISPG,1,2026-05-19
SILVERAG,2,2026-05-19
SIYSIL,2,2026-05-19
SKFINDIA,2,2026-05-19
SKMEGGPROD,1,2026-05-19
SOLARINDS,2,2026-05-19
SOMANYCERA,1,2026-05-19
SOTL,1,2026-05-19
SPARC,1,2026-05-19
SPIC,1,2026-05-19
STALLION,1,2026-05-19
STAR,2,2026-05-19
STYL,2,2026-05-19
SUPRIYA,1,2026-05-19
SUVEN,2,2026-05-19
SYNGENE,1,2026-05-19
TATACOMM,1,2026-05-19
TATATECH,2,2026-05-19
TEAMLEASE,1,2026-05-19
TECHM,2,2026-05-19
THYROCARE,1,2026-05-19
TIMKEN,1,2026-05-19
TMPV,1,2026-05-19
TNPL,1,2026-05-19
TRITURBINE,2,2026-05-19
VBL,1,2026-05-19
VERANDA,1,2026-05-19
VTL,1,2026-05-19
WEL,1,2026-05-19
WELCORP,2,2026-05-19
WELSPUNLIV,2,2026-05-19
WPIL,1,2026-05-19
YASHO,1,2026-05-19
ZYDUSLIFE,2,2026-05-19
